Warehouse_block,Shipment_mode,Customer_care_calls,Customer_rating,Product_Cost,Prior_purchases,Product_importance,Gender,Discount_offered,Weights_gms,Delivery_status,Delay_flag,Discount_category,Weight_Category
D,Flight,4,2,177,3,low,F,44,1233,On Time,0,High,Light
F,Flight,4,5,216,2,low,M,59,3088,On Time,0,High,Medium
A,Flight,2,2,183,4,low,M,48,3374,On Time,0,High,Medium
B,Flight,3,3,176,4,medium,M,10,1177,On Time,0,Low,Light
C,Flight,2,2,184,3,medium,F,46,2484,On Time,0,High,Light
F,Flight,3,1,162,3,medium,F,12,1417,On Time,0,Medium,Light
D,Flight,3,4,250,3,low,F,3,2371,On Time,0,Low,Light
F,Flight,4,1,233,2,low,F,48,2804,On Time,0,High,Light
A,Flight,3,4,150,3,low,F,11,1861,On Time,0,Medium,Light
B,Flight,3,2,164,3,medium,F,29,1187,On Time,0,Medium,Light
C,Flight,3,4,189,2,medium,M,12,2888,On Time,0,Medium,Light
F,Flight,4,5,232,3,medium,F,32,3253,On Time,0,High,Medium
D,Flight,3,5,198,3,medium,F,1,3667,On Time,0,Low,Medium
F,Flight,4,4,275,3,high,M,29,2602,On Time,0,Medium,Light
A,Flight,4,3,152,3,low,M,43,1009,On Time,0,High,Light
B,Flight,4,3,227,3,low,F,45,2707,On Time,0,High,Light
C,Flight,3,4,143,2,medium,F,6,1194,On Time,0,Low,Light
F,Ship,5,5,227,3,medium,M,36,3952,On Time,0,High,Medium
D,Ship,5,5,239,3,high,M,18,2495,On Time,0,Medium,Light
F,Ship,4,5,145,3,medium,M,45,1059,On Time,0,High,Light
A,Ship,3,3,161,2,medium,F,38,1521,On Time,0,High,Light
B,Ship,3,1,232,4,medium,F,51,2899,On Time,0,High,Light
C,Ship,2,5,156,2,low,M,2,1750,On Time,0,Low,Light
F,Ship,4,3,211,3,high,M,12,3922,On Time,0,Medium,Medium
D,Ship,4,5,251,2,medium,F,28,3561,On Time,0,Medium,Medium
F,Ship,3,1,225,4,low,M,29,3496,On Time,0,Medium,Medium
A,Ship,4,1,172,3,high,F,24,1066,On Time,0,Medium,Light
B,Ship,5,1,162,3,medium,M,31,1435,On Time,0,High,Light
C,Ship,2,3,234,4,low,M,44,3134,On Time,0,High,Medium
F,Ship,5,4,183,2,low,F,36,3819,On Time,0,High,Medium
